x,y,z
-0.169826,-2.83949,97.4049
-0.160243,-2.83663,97.4013
-0.15066,-2.83377,97.3976
-0.141077,-2.83092,97.394
-0.131494,-2.82806,97.3903
-0.121911,-2.8252,97.3867
-0.112328,-2.82234,97.3831
-0.102744,-2.81949,97.3794
-0.0931612,-2.81663,97.3758
-0.0835781,-2.81377,97.3721
-0.0739949,-2.81092,97.3685
-0.0644118,-2.80806,97.3649
-0.0548286,-2.8052,97.3612
-0.0452455,-2.80234,97.3576
-0.0356623,-2.79949,97.3539
-0.0260792,-2.79663,97.3503
-0.016496,-2.79377,97.3467
-0.00691289,-2.79092,97.343
0.00267026,-2.78806,97.3394
0.0122534,-2.7852,97.3357
0.0218365,-2.78234,97.3321
0.0314197,-2.77949,97.3285
0.0410029,-2.77663,97.3248
0.050586,-2.77377,97.3212
0.0601692,-2.77092,97.3175
0.0697523,-2.76806,97.3139
0.0793355,-2.7652,97.3103
0.0889186,-2.76234,97.3066
0.0985017,-2.75949,97.303
0.108085,-2.75663,97.2993
0.117668,-2.75377,97.2957
0.127251,-2.75092,97.2921
0.136834,-2.74806,97.2884
0.146417,-2.7452,97.2848
0.156001,-2.74234,97.2811
0.165584,-2.73949,97.2775
0.175167,-2.73663,97.2739
0.18475,-2.73377,97.2702
0.194333,-2.73092,97.2666
0.203916,-2.72806,97.2629
0.2135,-2.7252,97.2593
0.223083,-2.72234,97.2557
0.232666,-2.71949,97.252
0.242249,-2.71663,97.2484
0.251832,-2.71377,97.2447
0.261415,-2.71092,97.2411
0.270998,-2.70806,97.2375
0.280582,-2.7052,97.2338
0.290165,-2.70234,97.2302
0.299748,-2.69949,97.2265
0.309331,-2.69663,97.2229
0.318914,-2.69377,97.2193
0.328497,-2.69092,97.2156
0.33808,-2.68806,97.212
0.347664,-2.6852,97.2084
0.357247,-2.68234,97.2047
0.36683,-2.67949,97.2011
0.376413,-2.67663,97.1974
0.385996,-2.67377,97.1938
0.395579,-2.67092,97.1901
0.405163,-2.66806,97.1865
0.414746,-2.6652,97.1829
0.424329,-2.66234,97.1792
0.433912,-2.65949,97.1756
0.443495,-2.65663,97.172
0.453078,-2.65377,97.1683
0.462661,-2.65092,97.1647
0.472245,-2.64806,97.161
0.481828,-2.6452,97.1574
0.491411,-2.64234,97.1538
0.500994,-2.63949,97.1501
0.510577,-2.63663,97.1465
0.52016,-2.63377,97.1428
0.529743,-2.63092,97.1392
0.539327,-2.62806,97.1356
0.54891,-2.6252,97.1319
0.558493,-2.62234,97.1283
0.568076,-2.61949,97.1246
0.577659,-2.61663,97.121
0.587242,-2.61377,97.1174
0.596825,-2.61092,97.1137
0.606409,-2.60806,97.1101
0.615992,-2.6052,97.1064
0.625575,-2.60234,97.1028
0.635158,-2.59949,97.0992
0.644741,-2.59663,97.0955
0.654324,-2.59377,97.0919
0.663907,-2.59092,97.0882
0.673491,-2.58806,97.0846
0.683074,-2.5852,97.081
0.692657,-2.58234,97.0773
0.70224,-2.57949,97.0737
0.711823,-2.57663,97.07
